I_D,FLAG_TSUNA,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,FOCAL_DEPT,EQ_PRIMARY,EQ_MAG_MW,EQ_MAG_MS,EQ_MAG_MB,EQ_MAG_ML,EQ_MAG_MFA,EQ_MAG_UNK,INTENSITY,COUNTRY,STATE,LOCATION_N,LATITUDE,LONGITUDE,REGION_COD,DEATHS,DEATHS_DES,MISSING,MISSING_DE,INJURIES,INJURIES_D,DAMAGE_MIL,DAMAGE_DES,HOUSES_DES,HOUSES_D_1,HOUSES_DAM,HOUSES_D_2,TOTAL_DEAT,TOTAL_DE_1,TOTAL_MISS,TOTAL_MI_1,TOTAL_INJU,TOTAL_IN_1,TOTAL_DAMA,TOTAL_DA_1,TOTAL_HOUS,TOTAL_HO_1,TOTAL_HO_2,TOTAL_HO_3
2684,,1904,8,11,5,56,,10,6.200000000000000,,6.200000000000000,,,,,10,GREECE,,"GREECE:  SAMOS, PATMOS",37.750000000000000,27.000000000000000,130,4,1,,,,,,3,540,3,540,3,4,1,,,,,,3,540,3,,
2688,,1904,8,24,20,59,,25,7.900000000000000,,,,,,7.900000000000000,,JAPAN,,JAPAN:  KYUSHU,30.000000000000000,130.000000000000000,30,,,,,,,,,,,,,,,,,,,,,,,,
6242,Tsu,1904,9,7,,,,,,,,,,,,,INDONESIA,,INDONESIA:  S. JAVA,-7.700000000000000,109.000000000000000,170,,,,,,,,,,,,,,,,,,,,,,,,
2695,,1904,11,1,11,,,,7.700000000000000,,,,,,7.700000000000000,,ECUADOR,,ECUADOR,-1.000000000000000,-80.500000000000000,160,,,,,,,,,,,,,,,,,,,,,,,,
2696,,1904,11,5,20,25,,,6.300000000000000,,6.300000000000000,,,,6.300000000000000,,TAIWAN,,TAIWAN:  JIAYI,23.500000000000000,120.299999999999997,30,145,3,,,158,3,,2,661,3,,,145,3,,,158,3,,2,661,3,,
2700,Tsu,1904,12,20,5,44,18,60,7.200000000000000,7.200000000000000,7.300000000000000,,,,,,PANAMA,,PANAMA:  BOCAS DEL TORO,9.199999999999999,-82.799999999999997,100,,,,,,,,,,,,,,,,,,,,,,,,
10144,Tsu,1905,1,20,18,23,,,6.800000000000000,,6.800000000000000,,,,,,COSTA RICA,,COSTA RICA:  PUNTARENAS,9.850000000000000,-84.680000000000007,100,,,,,,,,1,,,,,,,,,,,,1,,,,
2702,,1905,1,22,2,43,54,90,8.400000000000000,,8.400000000000000,,,,,,INDONESIA,,INDONESIA:  MINAHASSA PENINSULA,1.000000000000000,123.000000000000000,170,,,,,,,,,,,,,,,,,,,,,,,,
2703,,1905,2,14,8,46,,,7.900000000000000,,7.900000000000000,7.500000000000000,,,,,USA,AK,ALASKA:  ANDREANOF ISLANDS,50.729999999999997,-178.550000000000011,150,,,,,,,,,,,,,,,,,,,,,,,,
2707,,1905,3,18,0,58,,60,7.500000000000000,,,,,,7.500000000000000,,KERMADEC ISLANDS (NEW ZEALAND),,KERMADEC ISLANDS,-27.500000000000000,-173.000000000000000,170,,,,,,,,,,,,,,,,,,,,,,,,
9194,Tsu,1905,3,19,,,,,,,,,,,,,VANUATU,,VANUATU:  MALO PASS,-15.600000000000000,167.199999999999989,170,,,,,,,,,,,,,,,,,,,,,,,,
2709,Tsu,1905,4,4,0,50,,25,7.800000000000000,,7.800000000000000,,,,,10,INDIA,,INDIA:  KANGRA,33.000000000000000,76.000000000000000,60,19000,4,,,,,,4,,,,,19000,4,,,,,,4,,,,
2710,,1905,4,15,,,,33,6.500000000000000,,6.500000000000000,,,,,10,TURKEY,,TURKEY,40.200000000000003,29.000000000000000,140,,,,,,,,,,,,,,,,,,,,,,,,
2711,,1905,4,25,,,,,,,,,,,,,IRAN,,"IRAN:  BANDAR ABBAS,QESHM,HENGAM",26.399999999999999,56.299999999999997,140,,,,,,,,2,,,,,,,,,,,,,,,,
